	Case1	Case2	Case3	Case4	Ctrl1	Ctrl2	Ctrl3	Ctrl4
Cyb5r4	254.85	153.64	77.26	407.43	1771.83	2004.92	1905.38	1289.64
Cyb5rl	62.79	2.34	11.17	385.92	198.09	26.90	55.25	78.39
Cyc1	939.06	1352.41	1325.77	828.90	81.97	152.98	10.00	50.99
Cycs	778.57	1508.47	1166.28	1978.48	1294.38	661.82	689.87	409.91
Cyct	117.86	1.35	169.50	1.30	156.94	123.98	133.99	35.99
Cyfip1	1341.87	811.13	404.34	1130.62	617.74	972.04	503.77	226.97
Cyhr1	100.57	437.14	1.95	321.97	1023.63	865.88	803.95	503.92
Cyld	28.95	52.94	87.05	21.20	920.48	623.70	295.33	485.56
Cyp11a1	2.31	5.88	1.12	3.96	19.03	32.94	10.00	10.04
Cyp20a1	1.34	9.46	772.26	812.69	2.82	168.40	69.72	44.59
Cyp2e1	23.19	26.71	63.34	57.51	97.96	42.04	31.40	23.77
Cyp2f2	63.83	1.68	265.19	174.20	153.55	411.63	107.99	168.97
Cyp2s1	637.22	1508.54	1714.44	2466.14	612.78	1148.85	500.97	312.95
Cyp2u1	16.91	80.54	46.92	9.50	91.87	299.36	115.83	47.60
Cyp4x1	77.71	93.96	38.61	30.80	94.37	59.95	53.39	64.25
Cyp51	68.09	284.54	17.83	185.81	79.91	73.84	31.37	185.45
Cystm1	745.49	3394.68	4413.71	3368.43	144.95	388.95	524.97	254.96
Cyth1	14.37	39.27	0.84	37.69	263.90	229.97	189.99	208.97
Cyth2	275.01	384.45	1531.31	739.84	236.91	740.90	511.97	211.96
Cyth3	1.58	271.01	398.32	370.90	639.77	791.89	292.98	438.93
D030028A08Rik	9.37	5.13	10.05	53.95	39.35	179.02	127.11	158.95
D030040B21Rik	7.04	9.00	1.44	9.07	12.11	2.12	20.18	16.16
D030056L22Rik	101.57	205.89	207.49	187.90	489.82	305.96	210.99	212.96
D030068K23Rik	1.17	9.61	30.67	0.98	381.26	124.04	267.13	179.05
D10Jhu81e	127.46	31.15	27.74	0.98	222.92	205.97	231.98	32.99
D10Wsu102e	1539.37	7642.91	4079.89	3295.70	27783.17	26317.18	21225.79	14209.03
D11Wsu47e	451.32	128.80	231.84	379.71	778.72	210.97	177.99	373.94
D130007C19Rik	27.06	267.49	225.07	94.18	452.14	226.01	256.14	192.30
D130017N08Rik	4.30	15.40	22.34	4.24	69.58	21.74	21.23	17.55
D130040H23Rik	644.88	610.66	378.42	1225.21	35.00	21.65	59.43	7.53
D130051D11Rik	33.14	33.86	29.02	15.75	259.99	93.29	172.16	63.42
D16Ertd472e	45.99	36.10	1.95	479.53	58.98	360.95	338.98	89.99
D17Wsu92e	23.00	921.12	1162.12	909.14	10625.13	9491.73	6955.54	4580.24
D1Ertd622e	92.06	268.33	541.33	94.79	11120.26	9572.18	7492.31	6302.18
D230025D16Rik	2.75	735.79	2688.25	603.02	1690.25	3554.45	1900.14	1437.03
D330041H03Rik	87.07	153.42	67.47	30.92	198.82	58.90	72.52	149.37
D3Ertd254e	24.74	4.59	860.26	6.49	40.08	43.31	11.39	22.47
D3Ertd751e	43.25	122.95	354.74	15.01	18.99	34.39	52.00	49.99
D430013B06Rik	22.54	3.75	37.33	5.86	52.05	14.99	5.91	5.63
D430042O09Rik	42.45	36.39	17.36	16.44	1640.52	1823.82	1776.03	663.54
D5Ertd577e	567.28	1948.19	96.81	911.74	4952.82	7790.93	4533.97	4311.64
D5Ertd579e	275.91	63.44	2.46	60.90	1665.73	2044.10	1009.03	948.65
D5Ertd605e	0.96	319.29	269.82	4.52	4.00	25.61	12.83	7.00
D630033O11Rik	1.81	15.13	6.26	18.40	458.03	408.30	186.82	191.62
D630045J12Rik	6.56	4.56	2.20	2.34	506.26	629.65	327.58	284.09
D6Ertd474e	3.66	12.79	5.47	5.10	5046.77	5875.55	3038.35	2841.87
D6Wsu163e	75.78	1088.90	420.03	622.44	1207.25	1934.39	1256.71	1105.76
D7Bwg0826e	4.27	4.04	5.26	10.11	20.28	3.65	15.10	8.42
D7Ertd443e	74.21	0.98	0.97	165.57	13253.19	15968.90	12013.21	5864.02
D830025C05Rik	4.53	112.52	2.93	45.02	29.10	32.13	25.20	7.94
D8Ertd738e	1217.90	1987.63	3567.20	2626.63	1402.49	1894.75	1182.92	756.87
D930016D06Rik	0.99	0.98	17.53	140.87	221.92	163.03	10.00	100.98
Daam1	105.08	416.73	40.91	714.40	15536.34	20214.27	13835.08	8677.56
Dab2	512.65	1869.57	1972.58	7544.23	3396.76	3188.57	3103.80	1992.67
Dab2ip	18.42	291.86	4.43	198.09	58.98	99.99	133.99	227.96
Dad1	516.48	1155.31	2065.12	2180.38	3267.81	4796.36	3419.78	2612.56
Dag1	131.28	34.15	237.68	593.05	1489.46	1942.74	1477.90	1013.83
Daglb	0.43	0.66	0.77	3.94	6362.45	6407.52	4401.91	3134.10
Dalrd3	37.58	136.40	396.98	541.19	67.71	126.73	75.72	38.89
Dap3	394.85	1234.34	10.72	303.37	5007.18	6099.19	4383.71	2918.51
Dars	1273.58	1297.90	2851.77	1240.15	1075.48	1454.65	1117.03	1020.84
Dars2	43.12	27.32	1273.07	423.01	362.97	371.95	13.00	215.96
Daxx	24.91	351.47	441.27	25.44	1428.48	714.91	876.94	1012.83
Dazap1	2.87	66.35	0.97	53.82	14.99	34.00	58.00	61.99
Dazap2	158.03	1216.78	3052.70	4327.65	11275.09	11699.44	10890.18	8485.53
Dazl	24.20	197.41	412.05	66.03	36400.72	56685.42	39101.41	32913.52
Dbf4	610.36	1604.34	1680.51	464.78	23792.49	23827.79	18985.78	16997.44
Dbhos	11.86	166.89	124.17	13.29	7.61	100.31	14.71	15.23
Dbi	38.33	147.34	602.55	104.71	1183.57	606.92	671.96	770.87
Dbnl	807.78	757.19	684.80	699.72	640.77	154.98	60.00	87.99
Dbt	129.85	739.58	998.20	976.93	642.92	393.95	396.98	144.01
Dcaf10	513.28	437.05	217.23	0.98	577.93	858.47	692.76	529.98
Dcaf11	419.70	723.09	798.77	1479.68	608.78	357.95	469.97	582.90
Dcaf12	909.35	905.51	1287.78	2483.75	13764.98	16456.80	12304.19	7539.74
Dcaf12l1	174.25	50.97	104.95	48.93	120.99	123.98	118.99	114.98
Dcaf13	2379.26	1876.40	5418.02	5462.69	710.74	772.90	729.95	435.93
Dcaf15	0.96	0.98	262.99	22.51	163.94	205.97	166.99	105.98
Dcaf17	35.74	825.75	31.98	137.45	137.04	277.19	412.18	184.91
Dcaf4	828.86	339.57	2781.09	2709.81	249.91	697.91	412.97	86.99
Dcaf5	366.04	648.88	646.81	337.63	8738.91	9467.60	4806.83	3659.78
Dcaf6	5.91	33.18	12.66	11.08	700.74	821.87	325.98	598.90
Dcaf7	0.96	182.47	144.17	186.92	12809.37	15535.94	8905.41	5946.01
Dcaf8	849.98	9.36	18.46	24.17	20778.13	19633.19	16190.69	10731.34
Dcakd	93.91	678.16	600.05	105.69	7239.36	10602.59	8982.40	4392.27
Dcbld1	273.17	1099.62	338.72	1145.66	379.76	592.19	586.86	419.21
