ProbeSet	log2(FC)	p-value
214111_at	  0.2873	1.17e-01
214112_s_at	 -0.2927	1.26e-01
214113_s_at	 -0.0402	8.57e-01
214115_at	  0.2969	3.68e-02
214119_s_at	 -0.3502	1.45e-02
214124_x_at	  0.0863	7.73e-01
214125_s_at	  0.4259	5.78e-02
214126_at	  0.3775	1.34e-02
214131_at	 -0.0956	3.74e-01
214134_at	  0.2745	7.30e-02
214136_at	  0.6707	7.15e-02
214138_at	  0.0033	9.72e-01
214140_at	  0.0468	3.00e-01
214147_at	  0.1963	2.25e-01
214148_at	  0.2779	8.50e-02
214153_at	  0.4899	5.16e-02
214156_at	  0.2310	5.49e-02
214157_at	 -0.2059	1.30e-01
214161_at	  0.4178	4.01e-02
214162_at	  0.2842	6.27e-02
214163_at	  0.3351	1.48e-01
214166_at	  0.1338	7.97e-02
214168_s_at	  0.1376	8.21e-02
214169_at	  0.0240	7.38e-01
214170_x_at	 -0.3383	7.37e-02
214171_s_at	  0.2842	1.91e-01
214172_x_at	  0.0244	7.04e-01
214173_x_at	 -0.4700	5.23e-02
214175_x_at	  0.2193	7.03e-02
214177_s_at	  0.3708	2.34e-02
214178_s_at	  0.3498	5.34e-02
214179_s_at	  0.0576	1.47e-01
214181_x_at	 -0.0905	4.29e-01
214183_s_at	  0.3338	1.56e-01
214187_x_at	  0.3647	6.41e-02
214188_at	  0.3855	1.28e-02
214193_s_at	 -0.3967	1.07e-02
214194_at	  0.1391	2.50e-01
214197_s_at	  0.2095	3.05e-01
214198_s_at	  0.5685	1.16e-01
214199_at	  0.1853	1.54e-01
214200_s_at	 -0.0883	3.91e-01
214201_x_at	  0.1095	3.74e-01
214203_s_at	  0.2350	1.33e-01
214204_at	  0.0169	8.82e-01
214207_s_at	  0.3268	4.92e-02
214208_at	  0.3465	1.24e-01
214209_s_at	  0.1437	2.77e-01
214211_at	  0.7127	1.99e-02
214212_x_at	  0.3133	1.71e-01
214213_x_at	  0.4342	2.20e-02
214216_s_at	 -0.0243	6.82e-01
214217_at	 -0.0134	5.97e-01
214219_x_at	  0.4096	5.02e-02
214221_at	 -0.1884	1.84e-01
214224_s_at	  0.3051	1.33e-01
214229_at	  0.2534	8.05e-02
214231_s_at	  0.0072	9.28e-01
214232_at	  0.2802	1.74e-01
214236_at	  0.3669	5.63e-02
214238_at	  0.2562	2.19e-01
214240_at	 -1.0295	8.89e-03
214243_s_at	  0.9107	2.15e-02
214244_s_at	  0.1561	2.12e-01
214245_at	  0.0755	5.74e-01
214246_x_at	  0.0793	2.56e-01
214252_s_at	  0.0154	7.97e-01
214253_s_at	  0.1773	1.11e-01
214254_at	  0.1286	1.96e-01
214255_at	  0.1805	5.40e-02
214256_at	  0.1834	2.10e-01
214259_s_at	  0.4664	2.98e-02
214260_at	 -0.1182	4.41e-02
214261_s_at	  0.0879	4.00e-01
214264_s_at	  0.0782	4.25e-01
214267_s_at	  0.3992	6.58e-02
214268_s_at	  0.0406	8.01e-01
214271_x_at	  0.1361	7.52e-02
214273_x_at	  1.2869	8.67e-06
214276_at	  0.3014	6.95e-02
214277_at	  0.0344	6.28e-01
214279_s_at	  0.0123	8.21e-01
214280_x_at	  0.5923	8.61e-03
214281_s_at	 -0.8260	1.01e-03
214283_at	 -0.2425	1.76e-01
214284_s_at	  0.4831	5.82e-02
214288_s_at	 -0.1770	1.94e-02
214290_s_at	  0.1981	2.79e-03
214291_at	 -0.1757	3.93e-01
214292_at	 -0.0085	9.29e-01
214297_at	  0.3354	1.16e-01
214300_s_at	 -0.0577	2.60e-01
214301_s_at	  0.2823	2.18e-01
214305_s_at	 -0.3042	7.57e-03
214307_at	 -0.2072	2.49e-01
214309_s_at	  0.3666	1.73e-01
214313_s_at	 -0.6218	8.59e-03
214315_x_at	 -0.6467	8.82e-02
214318_s_at	  0.3896	3.75e-02
214319_at	  0.0459	6.58e-01
214321_at	  0.0695	3.63e-01
214324_at	  0.2426	1.85e-01
214325_at	  0.0491	3.13e-01
214328_s_at	 -0.6990	2.61e-03
214329_x_at	 -0.0092	8.74e-01
214330_at	  0.3747	5.28e-02
214331_at	 -0.2237	1.54e-01
214333_x_at	  0.2663	6.40e-03
214334_x_at	  0.0033	9.52e-01
214335_at	  0.2440	3.09e-02
214343_s_at	  0.1743	1.18e-01
214345_at	  0.1329	3.85e-01
214346_at	  0.1714	1.18e-01
214348_at	  0.0974	5.09e-01
214349_at	  0.1675	2.11e-02
214350_at	  0.1325	3.46e-01
214352_s_at	  0.0435	8.49e-01
214353_at	 -0.0463	4.58e-01
214354_x_at	  0.2931	5.08e-02
214356_s_at	  0.0567	7.21e-01
214357_at	  0.6851	6.27e-02
214359_s_at	 -0.4680	6.09e-02
214360_at	  0.0837	2.13e-01
214361_s_at	  0.6157	4.93e-02
214362_at	  0.2240	1.25e-01
214364_at	  0.1588	1.97e-03
214365_at	 -0.0632	7.15e-01
214366_s_at	  0.5905	4.23e-03
214367_at	  0.4139	9.75e-02
214369_s_at	 -0.7404	1.71e-03
214375_at	  0.1245	1.86e-01
214376_at	  0.0718	5.74e-01
214377_s_at	  0.1080	6.50e-02
214379_at	  0.1700	7.93e-03
214380_at	  0.6192	6.33e-02
214381_at	  0.1219	6.01e-02
214382_at	  0.2413	5.30e-02
214387_x_at	  0.1628	1.09e-01
214392_at	  0.2424	2.20e-01
214395_x_at	 -0.3161	2.83e-02
214398_s_at	 -0.1627	2.99e-01
214399_s_at	  0.2175	1.87e-01
214402_s_at	 -0.0409	7.12e-01
214406_s_at	  0.0150	9.11e-01
214409_at	  0.2265	1.30e-01
214410_at	  0.4047	1.11e-01
214411_x_at	  0.4330	7.14e-02
214412_at	  0.1360	1.95e-01
214413_at	  0.1679	2.61e-01
214415_at	 -0.0411	5.65e-01
214416_at	  0.2594	7.86e-02
214417_s_at	  0.0254	8.37e-01
214421_x_at	  0.3529	1.89e-01
214422_at	  0.0126	7.93e-01
214424_s_at	  0.4511	9.00e-02
214425_at	  0.2894	1.49e-01
214426_x_at	  0.1860	1.23e-01
214427_at	 -0.7107	2.53e-03
214429_at	 -0.4368	3.55e-02
214431_at	  0.2214	1.34e-01
214432_at	 -0.0017	9.90e-01
214434_at	  0.4076	9.17e-02
214435_x_at	 -0.4164	9.99e-02
214436_at	  0.1508	9.07e-02
214437_s_at	 -1.0049	2.09e-02
214438_at	  0.5858	6.83e-02
214439_x_at	  0.4448	4.83e-02
214441_at	 -0.1299	6.90e-02
214443_at	  0.2961	5.17e-02
214444_s_at	  0.1516	2.49e-01
214448_x_at	  0.1545	4.41e-01
214449_s_at	 -0.0624	4.16e-01
214454_at	  0.1742	1.27e-01
214457_at	 -0.0006	9.97e-01
214458_at	  0.0573	5.15e-01
214459_x_at	  0.2263	2.15e-01
214460_at	  0.3668	7.82e-02
214462_at	  0.2496	1.37e-01
214464_at	 -1.1227	4.21e-03
214466_at	  0.2614	1.17e-01
214467_at	  0.1904	5.22e-02
214469_at	  1.2393	1.01e-02
214471_x_at	  0.2471	9.18e-02
214473_x_at	 -0.4268	5.94e-02
214475_x_at	  0.3127	1.04e-01
214476_at	  0.3263	1.74e-01
214480_at	  0.0986	4.79e-01
214481_at	  0.7913	1.56e-02
214482_at	  0.1557	4.44e-01
214483_s_at	 -0.1398	3.33e-01
214484_s_at	 -0.4401	1.15e-02
214485_at	  0.4620	6.34e-02
214486_x_at	 -0.1070	3.32e-01
214488_at	 -0.0130	9.17e-01
214489_at	  0.1198	2.75e-01
214493_s_at	  0.0843	3.85e-01
214496_x_at	  0.1741	9.71e-02
214497_s_at	  0.1294	1.39e-01
214498_at	  0.2503	2.57e-01
214499_s_at	 -0.3223	1.23e-01
214500_at	  0.4723	8.37e-02
214503_x_at	  0.2416	1.32e-01
214508_x_at	 -0.9601	1.09e-03
214510_at	 -0.1687	2.37e-01
214511_x_at	  0.0729	4.34e-01
214512_s_at	 -0.7033	1.18e-02
214513_s_at	 -0.0974	2.75e-02
214514_at	  0.0214	8.11e-01
214515_at	  0.1582	1.54e-01
214516_at	  0.1283	1.58e-01
214518_at	  0.5642	5.52e-02
214519_s_at	 -0.1785	5.00e-02
214524_at	  0.2146	2.09e-01
214535_s_at	  0.5932	6.71e-02
214536_at	  0.3751	1.10e-01
214540_at	  0.1660	5.28e-01
214541_s_at	  0.0123	8.67e-01
214542_x_at	  0.3772	1.71e-02
214543_x_at	  0.0939	1.97e-01
214544_s_at	  0.0403	7.45e-01
214546_s_at	 -0.0003	9.97e-01
214549_x_at	  0.0478	5.79e-01
214551_s_at	  0.3099	6.27e-02
214552_s_at	 -0.0614	5.86e-01
214554_at	  0.0491	6.16e-02
214555_at	  0.1607	1.28e-02
214557_at	  0.0397	4.61e-01
214559_at	 -0.1203	6.17e-03
214560_at	  0.2162	1.71e-01
214562_at	  0.0416	3.64e-01
214564_s_at	  0.0206	8.93e-01
214567_s_at	  0.3267	1.08e-01
214569_at	  0.1714	2.18e-01
214570_x_at	  0.1288	3.63e-01
214575_s_at	 -0.0390	5.37e-01
214577_at	 -0.1137	1.13e-01
214581_x_at	  0.1027	4.31e-01
214588_s_at	 -0.0125	7.15e-01
214589_at	 -0.0095	8.90e-01
214590_s_at	 -0.1028	1.42e-01
214593_at	  0.1476	1.81e-01
214595_at	  0.2449	1.01e-01
214596_at	  0.1185	4.69e-01
214597_at	  0.2656	1.64e-01
214598_at	  0.3744	1.84e-01
214600_at	  0.0108	8.85e-01
214604_at	  0.0464	4.32e-01
214608_s_at	  0.3373	1.85e-01
214609_at	  0.0559	5.06e-01
214610_at	  0.3861	2.49e-02
214613_at	  0.1451	4.51e-01
214616_at	  0.1650	2.10e-01
214617_at	 -0.7018	3.54e-02
214618_at	  0.4156	1.55e-01
214622_at	  0.1447	3.25e-01
214623_at	  0.3073	2.36e-02
214627_at	  0.5036	9.64e-02
214628_at	  0.1879	1.58e-01
214629_x_at	  0.2100	1.31e-01
214631_at	  0.1496	9.80e-02
214632_at	  0.2593	3.34e-02
214634_at	  0.3500	6.32e-03
214635_at	  0.3608	6.90e-02
214638_s_at	 -0.1297	2.20e-01
214641_at	 -0.0671	5.57e-01
214642_x_at	 -0.3090	6.14e-02
214645_at	  0.0644	3.10e-01
214646_at	  0.1733	2.47e-01
214647_s_at	  0.2087	1.50e-01
214648_at	  0.1683	3.01e-01
214651_s_at	  0.1430	1.86e-01
214652_at	  0.0354	8.26e-01
214656_x_at	  0.2874	1.38e-02
214658_at	 -0.2453	1.23e-01
214659_x_at	  0.1971	1.39e-01
214661_s_at	 -0.3705	2.05e-02
214664_at	 -0.1765	7.31e-02
214665_s_at	  0.1592	2.87e-01
214668_at	 -0.0603	4.16e-01
214670_at	  0.0800	2.92e-01
214672_at	  0.2511	2.03e-01
214674_at	  0.2312	4.22e-02
214675_at	  0.0066	9.47e-01
214676_x_at	  0.5139	4.32e-02
214680_at	  0.2790	9.54e-02
214682_at	 -0.1179	4.14e-01
214683_s_at	  0.2303	5.74e-02
214684_at	  0.2424	9.01e-02
214687_x_at	 -0.4513	1.02e-02
214688_at	  0.1906	2.82e-02
214689_at	  0.4123	1.08e-01
214690_at	  0.0411	3.35e-01
214692_s_at	  0.2069	9.90e-02
214694_at	  0.1841	2.70e-01
214695_at	 -0.0185	8.99e-01
214696_at	  0.0882	7.97e-02
214699_x_at	  0.3374	7.31e-02
214700_x_at	 -0.3768	1.39e-01
214701_s_at	  0.2184	3.60e-01
214702_at	  0.5393	1.15e-01
214708_at	  0.3112	1.66e-01
214709_s_at	 -0.0914	7.28e-01
214714_at	  0.0975	8.50e-02
214716_at	 -0.1904	1.59e-01
214717_at	  0.3345	5.89e-02
214718_at	  0.3247	1.39e-01
214719_at	  0.0562	6.33e-01
214722_at	 -0.5560	9.67e-05
214723_x_at	  0.2404	2.00e-01
214725_at	 -0.1645	2.13e-01
214726_x_at	  0.4309	8.50e-03
214727_at	  0.2704	1.28e-01
214728_x_at	 -0.2244	1.07e-01
214730_s_at	  0.0005	9.97e-01
214731_at	 -0.2886	1.09e-01
214732_at	  0.2318	5.31e-02
214733_s_at	  0.1207	2.67e-01
214735_at	 -0.0452	7.52e-01
214737_x_at	 -0.1694	1.67e-01
214742_at	 -0.0488	7.52e-01
214748_at	  0.0142	9.32e-01
214751_at	  0.1113	2.09e-01
214753_at	  0.6025	1.63e-01
214756_x_at	 -0.2451	1.07e-01
214760_at	  0.1032	3.05e-01
214761_at	  0.2263	9.96e-02
214762_at	  0.1780	9.98e-03
214763_at	  0.1218	6.40e-02
214767_s_at	  0.3457	5.93e-02
214768_x_at	  0.2248	9.23e-02
214769_at	  0.3012	3.60e-02
214770_at	  0.1016	3.19e-01
214779_s_at	 -0.0025	9.88e-01
214780_s_at	  0.2394	5.84e-02
214781_at	  0.2269	9.11e-02
214784_x_at	 -0.0275	8.01e-01
214786_at	  0.2989	8.88e-02
214787_at	  0.4479	1.18e-01
214788_x_at	  0.3561	2.17e-02
214792_x_at	  0.1590	1.96e-01
214793_at	  0.2120	1.56e-01
214794_at	 -1.4972	7.05e-03
214797_s_at	 -0.0254	7.94e-01
214798_at	  0.1859	1.93e-01
214799_at	  0.0671	6.34e-01
214800_x_at	 -0.3503	2.20e-01
214801_at	 -0.0518	5.72e-01
214804_at	  0.0074	9.21e-01
214805_at	 -0.3901	6.32e-02
214806_at	  0.2478	4.12e-02
214807_at	  0.2118	3.91e-02
214808_at	  0.3432	3.83e-02
214812_s_at	 -0.1834	3.02e-01
214816_x_at	  0.1311	9.87e-02
214817_at	  0.0423	7.58e-01
214818_at	  0.0904	3.79e-01
214819_at	  0.1827	9.99e-02
214822_at	  0.2756	1.42e-01
214823_at	 -0.0223	8.66e-01
214825_at	  0.3265	4.85e-02
214836_x_at	  0.2591	1.94e-02
214837_at	  0.3386	6.06e-02
214838_at	  0.2370	1.23e-01
214839_at	  0.2236	1.41e-01
214840_at	  0.4037	1.05e-01
214843_s_at	 -0.1807	2.05e-01
214845_s_at	 -0.8061	1.48e-02
214846_s_at	  0.4334	1.25e-01
214847_s_at	  0.1069	3.17e-01
214850_at	  0.1318	5.73e-02
214851_at	  0.3536	2.01e-01
214853_s_at	  0.0067	9.55e-01
214854_at	 -0.0640	5.89e-01
214856_at	  0.2174	5.74e-02
214858_at	  0.1780	7.83e-02
214859_at	  0.1056	3.17e-01
214863_at	  0.4376	9.42e-02
214865_at	  0.0980	2.99e-01
214866_at	  0.4105	6.74e-02
214868_at	  0.1220	3.42e-01
214872_at	  0.0668	6.14e-01
214873_at	  0.1224	4.20e-01
214876_s_at	 -0.6033	4.78e-02
214877_at	  0.1295	2.97e-02
214878_at	 -0.1362	1.12e-01
214880_x_at	  0.1982	6.50e-02
214882_s_at	 -0.7084	4.26e-03
214885_at	  0.2138	1.50e-01
214886_s_at	  0.2238	1.86e-01
214887_at	  0.0626	2.33e-01
214889_at	 -0.1473	3.56e-01
214891_at	  0.0665	1.88e-01
214895_s_at	 -0.1305	5.07e-01
214897_at	  0.0627	5.44e-01
214899_at	  0.1428	1.59e-01
214901_at	  0.1037	5.25e-01
214903_at	  0.3772	1.03e-01
214906_x_at	 -0.0853	4.26e-01
214907_at	 -0.0004	9.98e-01
214909_s_at	  0.1480	4.64e-02
214911_s_at	 -0.2247	2.07e-01
214912_at	  0.3806	1.09e-01
214913_at	 -0.7169	6.39e-02
214915_at	  0.1004	2.61e-01
214916_x_at	  0.2686	3.55e-02
214917_at	  0.0992	3.25e-01
214918_at	  0.2410	1.73e-01
214919_s_at	  0.0519	7.44e-01
214926_at	  0.1260	3.18e-01
214929_s_at	  0.0034	9.61e-01
214930_at	  0.0080	9.45e-01
214931_s_at	  0.2488	1.06e-02
214933_at	  0.4206	5.93e-02
214935_at	  0.2593	4.17e-02
214937_x_at	  0.2072	2.45e-01
214939_x_at	 -0.1184	1.72e-01
214940_s_at	  0.3515	4.51e-02
214941_s_at	 -0.1152	1.42e-01
214942_at	 -0.1226	4.22e-01
214944_at	  0.4416	4.75e-02
214945_at	  0.2413	1.37e-01
214950_at	  0.3837	1.51e-01
214951_at	  0.4355	8.15e-02
214953_s_at	  0.4911	1.14e-01
214954_at	  0.1495	2.63e-01
214955_at	  0.3636	2.48e-02
214956_at	  0.6319	8.28e-02
214962_s_at	 -0.1829	2.27e-01
214963_at	 -0.1823	3.69e-02
214964_at	  0.4000	1.01e-01
214969_at	  0.2264	1.99e-01
214971_s_at	  0.0271	7.81e-01
214973_x_at	  0.1378	3.52e-01
214976_at	  0.0059	9.29e-01
214984_at	  0.0150	7.65e-01
214987_at	  0.2353	5.19e-02
214988_s_at	 -0.3377	1.59e-01
214989_x_at	  0.0331	4.92e-01
214990_at	  0.0710	6.84e-01
214993_at	  0.1701	1.15e-01
214997_at	  0.0222	6.30e-01
214998_at	  0.3608	1.21e-01
214999_s_at	  0.4452	7.95e-02
215000_s_at	 -0.0498	6.27e-01
215002_at	  0.2551	2.14e-01
215004_s_at	  0.1959	1.08e-01
215005_at	  0.0145	8.72e-01
215006_at	 -0.1386	6.78e-02
215008_at	  0.0389	5.14e-01
215010_s_at	  0.0637	6.66e-01
215011_at	 -0.0233	7.77e-01
215012_at	 -0.0551	6.60e-01
215013_s_at	 -0.0357	7.21e-01
215014_at	  0.0537	6.28e-01
215017_s_at	  0.5681	2.60e-02
215018_at	  0.1960	9.16e-02
215019_x_at	  0.2530	1.25e-01
215021_s_at	  0.0649	3.42e-01
215025_at	  0.0016	9.86e-01
215027_at	  0.4313	4.66e-02
215031_x_at	 -0.5481	2.50e-02
215033_at	  0.1977	2.56e-01
215034_s_at	  0.0850	5.55e-01
215035_at	  0.1021	1.85e-01
215036_at	  0.1005	4.00e-01
215042_at	  0.4024	3.61e-02
215043_s_at	 -0.0101	8.90e-01
215046_at	 -0.0511	4.50e-01
215050_x_at	  0.2683	9.99e-02
215051_x_at	  0.2084	1.40e-01
215054_at	  0.9172	1.33e-03
215056_at	  0.1964	3.73e-02
215057_at	  0.2975	1.32e-01
215059_at	  0.1648	2.59e-01
215061_at	  0.3731	6.55e-02
215062_at	  0.3955	7.18e-02
215064_at	  0.2729	4.62e-02
215065_at	 -0.2084	3.17e-01
215066_at	  0.2065	3.06e-01
215070_x_at	  0.1752	1.68e-01
215071_s_at	  1.0402	1.95e-02
215072_x_at	 -0.0438	4.99e-01
215074_at	 -0.1702	1.07e-01
215076_s_at	  0.1256	1.97e-01
215077_at	  0.0473	8.15e-01
215078_at	  0.0943	4.68e-01
215080_s_at	 -0.2109	2.34e-01
215081_at	  0.1792	1.17e-01
215083_at	  0.2818	1.58e-01
215084_s_at	  0.1517	4.54e-01
215085_x_at	  0.0571	5.21e-01
215086_at	 -0.0087	9.25e-01
215087_at	  0.3778	1.15e-01
215088_s_at	  0.2880	2.39e-01
215089_s_at	 -0.1194	3.07e-01
215091_s_at	 -0.3883	2.00e-01
215092_s_at	  0.1090	2.66e-01
215093_at	 -0.3533	8.74e-02
215094_at	  0.0691	5.05e-01
215095_at	  0.1496	1.62e-01
215096_s_at	 -0.0087	9.69e-01
215098_at	  0.1631	1.36e-01
215103_at	  0.1693	1.59e-01
215105_at	  0.3427	5.36e-02
215107_s_at	 -0.0273	7.04e-01
215108_x_at	  0.1843	6.60e-02
215109_at	  0.4232	7.31e-02
215113_s_at	 -0.1243	4.27e-01
215116_s_at	  0.8601	3.34e-02
215120_s_at	  0.1164	2.08e-01
215121_x_at	  0.0214	6.57e-01
215122_at	  0.1571	1.98e-01
215126_at	  0.1321	5.83e-01
215129_at	  0.1270	2.72e-01
215130_s_at	  0.1146	3.36e-01
215131_at	  0.0393	6.53e-01
215132_at	  0.0888	4.59e-02
215133_s_at	  0.2688	1.28e-01
215135_at	  0.0491	6.14e-01
215136_s_at	 -0.5888	4.41e-02
215137_at	  0.0641	4.56e-01
215138_s_at	  0.1645	2.30e-01
215139_at	 -0.0615	5.50e-02
215140_at	  0.0914	3.95e-01
215142_at	  0.3963	9.30e-02
215143_at	 -0.0549	3.90e-01
215144_at	  0.0927	4.48e-01
215145_s_at	  0.3115	5.47e-02
215146_s_at	  0.1503	1.90e-01
215147_at	  0.3766	1.19e-01
215148_s_at	 -0.1348	4.44e-01
215152_at	 -0.0003	9.96e-01
215155_at	  0.1858	7.95e-02
215157_x_at	  0.0670	7.64e-02
215160_x_at	  0.1036	5.96e-01
215161_at	  0.1470	2.35e-01
215163_at	  0.0873	3.00e-01
215164_at	  0.0706	6.29e-01
215171_s_at	 -0.8817	2.70e-02
215172_at	  0.1308	1.39e-01
215173_at	  0.2285	9.68e-02
215174_at	  0.3521	1.67e-01
215175_at	 -0.1525	2.16e-01
215176_x_at	  0.1530	1.75e-01
215179_x_at	 -0.3435	1.18e-01
215183_at	  0.1670	1.42e-01
215184_at	  0.2548	1.28e-01
215186_at	  0.0721	5.91e-01
215188_at	  0.0450	5.68e-01
215190_at	  0.0323	7.94e-01
215193_x_at	 -0.2022	3.99e-01
215194_at	  0.1034	1.41e-01
215196_at	  0.3832	2.38e-02
215197_at	  0.2881	1.26e-01
215199_at	  0.1388	3.38e-01
215200_x_at	 -0.0135	7.79e-01
215205_x_at	  0.0442	7.46e-01
215209_at	  0.1060	3.52e-01
215211_at	  0.3512	1.69e-01
215215_s_at	  0.0156	9.24e-01
215222_x_at	 -0.6552	2.80e-03
215224_at	  0.0193	8.12e-01
215225_s_at	  0.1086	1.31e-01
215227_x_at	  0.0137	8.99e-01
215228_at	  0.3537	2.03e-02
215229_at	  0.1862	1.34e-01
215231_at	 -0.0740	2.03e-01
215234_at	  0.0748	5.30e-01
215237_at	 -0.0529	6.13e-01
215238_s_at	  0.2539	1.39e-01
215240_at	 -0.0087	9.32e-01
215241_at	  0.2106	1.20e-01
215242_at	  0.2353	1.91e-01
215243_s_at	 -0.0016	9.94e-01
215247_at	  0.4196	2.07e-01
215250_at	  0.1289	6.65e-02
215251_at	  0.5882	5.91e-02
215252_at	  0.0816	2.40e-01
215254_at	  0.2090	3.92e-02
215255_at	  0.2191	1.78e-01
215256_x_at	  0.3264	7.46e-02
215259_s_at	  0.0629	6.52e-01
215260_s_at	  0.4250	1.60e-02
215264_at	  0.0733	3.74e-01
215265_at	  0.0814	4.89e-01
215271_at	  0.1257	3.55e-01
215272_at	  0.3969	1.07e-01
215273_s_at	  0.2652	4.83e-02
215274_at	  0.1995	1.12e-01
215276_at	  0.4102	1.19e-01
215277_at	  0.2541	3.28e-04
215279_at	  0.1400	1.66e-01
215280_s_at	  0.0151	8.01e-01
215283_at	  0.1461	6.00e-02
215284_at	  0.4608	1.08e-01
215286_s_at	 -0.3851	1.38e-02
215288_at	  0.2359	6.87e-02
215289_at	  0.2484	3.80e-02
215290_at	  0.2513	1.58e-01
215291_at	  0.1540	2.91e-01
215292_s_at	  0.0400	6.98e-01
215303_at	 -0.0598	2.18e-01
215305_at	 -0.0235	7.26e-01
215306_at	  0.1583	2.09e-01
215307_at	  0.1518	7.95e-02
215308_at	 -0.2408	7.41e-02
215309_at	 -0.1324	1.99e-01
215310_at	  0.0436	4.86e-01
215314_at	  0.1585	3.84e-01
215316_at	  0.0412	6.49e-01
215317_at	 -0.0470	7.52e-01
215320_at	  0.0672	4.36e-01
215322_at	  0.0017	9.89e-01
215323_at	  0.2778	1.24e-01
215325_x_at	 -0.1585	7.60e-03
215328_at	 -0.1483	2.53e-01
215332_s_at	 -0.0308	7.16e-01
215334_at	  0.1661	1.04e-01
215337_at	  0.3720	1.25e-01
215339_at	 -0.0199	8.21e-01
215340_at	  0.2664	1.38e-01
215342_s_at	  0.3164	3.39e-02
215343_at	  0.2286	1.45e-01
215344_at	  0.1345	1.59e-01
215349_at	 -0.0150	9.21e-01
215353_at	  0.3625	1.31e-01
215354_s_at	  0.0253	5.55e-01
215356_at	  0.1862	2.60e-01
215358_x_at	  0.0664	1.65e-01
215359_x_at	 -0.0013	9.94e-01
215361_at	  0.2144	3.42e-01
215364_s_at	  0.1636	4.53e-01
215365_at	  0.0962	3.34e-01
215367_at	  0.1415	4.57e-01
215369_at	  0.1212	2.32e-01
215370_at	  0.0248	6.87e-01
215371_at	  0.0834	2.67e-01
215372_x_at	  0.2619	1.10e-01
215374_at	  0.0352	6.78e-01
215376_at	  0.1574	3.24e-01
215377_at	  0.1495	4.11e-01
215378_at	 -0.0643	4.70e-01
215379_x_at	  0.4168	5.81e-02
215380_s_at	 -0.2717	3.16e-01
215382_x_at	  0.1421	4.03e-01
215385_at	  0.0474	4.80e-01
215386_at	  0.1142	1.70e-01
215387_x_at	 -0.0197	7.27e-01
215389_s_at	  0.1015	2.58e-01
215393_s_at	  0.2005	9.08e-02
215395_x_at	  0.3498	8.44e-02
215396_at	 -0.0835	4.25e-01
215397_x_at	  0.0389	3.67e-01
215398_at	  0.1127	4.51e-01
215400_x_at	  0.2269	1.35e-01
215401_at	 -0.4574	7.10e-02
215403_at	  0.0759	6.16e-01
215404_x_at	 -0.0309	8.59e-01
215408_at	  0.0386	5.55e-01
215409_at	  0.0442	6.71e-01
215411_s_at	  0.4204	9.76e-03
215412_x_at	 -0.2840	5.49e-02
215415_s_at	  0.2994	3.14e-02
215418_at	 -0.0673	5.96e-01
215419_at	  0.1650	1.13e-01
215421_at	  0.1319	2.05e-01
215425_at	 -0.2115	8.65e-02
215426_at	  0.0478	3.15e-01
215431_at	  0.2632	8.46e-02
215432_at	  0.4242	1.06e-05
215436_at	  0.1336	1.89e-01
215437_x_at	  0.0895	8.69e-02
215438_x_at	 -0.6636	4.85e-02
215439_x_at	  0.1438	1.83e-01
215440_s_at	 -0.5568	1.96e-01
215442_s_at	  0.1882	1.39e-01
215444_s_at	 -0.0182	8.89e-01
215447_at	 -0.3208	2.47e-02
215450_at	 -0.7430	5.31e-02
215454_x_at	  0.1243	2.98e-01
215456_at	  0.3989	1.15e-01
215457_at	  0.0867	7.03e-02
215458_s_at	 -0.0721	3.06e-01
215460_x_at	  0.2361	5.96e-03
215463_at	  0.2453	1.61e-01
215465_at	  0.0130	8.82e-01
215468_at	 -0.1076	2.17e-01
215471_s_at	  0.2639	1.71e-01
215472_at	  0.0537	2.58e-01
215474_at	  0.1533	7.10e-02
215475_at	  0.0172	9.04e-01
215479_at	  0.3243	1.66e-01
215480_at	  0.2088	2.48e-01
215487_x_at	  0.2910	1.99e-01
215488_at	  0.4429	5.16e-02
215491_at	  0.3049	2.12e-01
215503_at	 -0.0721	3.67e-01
215505_s_at	  0.2851	1.40e-01
215506_s_at	  0.0574	2.55e-01
215509_s_at	 -0.3030	1.72e-02
215510_at	 -0.0634	7.07e-01
215512_at	  0.0379	6.78e-01
215513_at	  0.0444	3.70e-01
215514_at	  0.1503	1.35e-01
215518_at	  0.3431	1.06e-01
215519_x_at	  0.2926	7.09e-02
215520_at	  0.3645	6.40e-02
215521_at	  0.1482	2.66e-01
215522_at	 -0.0257	8.34e-01
215523_at	  0.0484	6.53e-01
215524_x_at	 -0.1463	1.32e-01
215526_at	  0.2502	1.38e-01
215527_at	  0.5786	9.41e-02
215528_at	 -0.4201	1.21e-01
215529_x_at	 -0.0288	4.44e-01
215532_x_at	  0.1450	4.65e-03
215536_at	  0.1029	4.14e-01
215539_at	 -0.0376	5.60e-01
215546_at	 -0.1466	5.35e-02
215547_at	  0.2894	6.48e-02
215548_s_at	  0.5062	1.63e-01
215549_x_at	 -0.0495	7.88e-01
215553_x_at	  0.2161	1.79e-01
215554_at	  0.1907	4.70e-02
215557_at	  0.2505	2.02e-01
215558_at	  0.1789	6.61e-03
215559_at	  0.2074	3.45e-01
215561_s_at	 -0.0316	7.47e-01
215564_at	  0.0304	7.45e-01
215565_at	 -0.0159	9.20e-01
215571_at	 -0.2980	3.10e-02
215576_at	  0.2780	7.38e-02
215577_at	 -0.1747	1.41e-02
215578_at	  0.1845	1.81e-01
